Sentença	Id	Index	Granularidade	Documento
A Fundação Oswaldo Cruz (Fiocruz) iniciou a produção em larga escala de um novo antibiótico desenvolvido a partir de fungos encontrados no Cerrado brasileiro.	4	0	0	A Fundação Oswaldo Cruz ( Fiocruz ) iniciou a produção em larga escala de um novo antibiótico desenvolvido a partir de fungos encontrados no Cerrado brasileiro . O medicamento tem potencial para combater bactérias resistentes aos tratamentos convencionais .
O medicamento tem potencial para combater bactérias resistentes aos tratamentos convencionais.	4	1	0	A Fundação Oswaldo Cruz ( Fiocruz ) iniciou a produção em larga escala de um novo antibiótico desenvolvido a partir de fungos encontrados no Cerrado brasileiro . O medicamento tem potencial para combater bactérias resistentes aos tratamentos convencionais .
3	4	-1	1	A Fundação Oswaldo Cruz ( Fiocruz ) iniciou a produção em larga escala de um novo antibiótico desenvolvido a partir de fungos encontrados no Cerrado brasileiro . O medicamento tem potencial para combater bactérias resistentes aos tratamentos convencionais .
Cientistas brasileiros do Centro Nacional de Pesquisa em Energia e Materiais (CNPEM) criaram um novo material semicondutor capaz de dobrar a eficiência de células solares fotovoltaicas.	5	0	0	Cientistas brasileiros do Centro Nacional de Pesquisa em Energia e Materiais ( CNPEM ) criaram um novo material semicondutor capaz de dobrar a eficiência de células solares fotovoltaicas . A descoberta pode revolucionar a geração de energia limpa no país .
A descoberta pode revolucionar a geração de energia limpa no país.	5	1	0	Cientistas brasileiros do Centro Nacional de Pesquisa em Energia e Materiais ( CNPEM ) criaram um novo material semicondutor capaz de dobrar a eficiência de células solares fotovoltaicas . A descoberta pode revolucionar a geração de energia limpa no país .
4	5	-1	1	Cientistas brasileiros do Centro Nacional de Pesquisa em Energia e Materiais ( CNPEM ) criaram um novo material semicondutor capaz de dobrar a eficiência de células solares fotovoltaicas . A descoberta pode revolucionar a geração de energia limpa no país .
O programa governamental de incentivo à pesquisa tecnológica Ciência sem Fronteiras completou dez anos com mais de oito mil bolsas concedidas a pesquisadores brasileiros para estudos no exterior.	6	0	0	O programa governamental de incentivo à pesquisa tecnológica Ciência sem Fronteiras completou dez anos com mais de oito mil bolsas concedidas a pesquisadores brasileiros para estudos no exterior . Os ex-bolsistas contribuíram com mais de três mil artigos científicos publicados .
Os ex-bolsistas contribuíram com mais de três mil artigos científicos publicados.	6	1	0	O programa governamental de incentivo à pesquisa tecnológica Ciência sem Fronteiras completou dez anos com mais de oito mil bolsas concedidas a pesquisadores brasileiros para estudos no exterior . Os ex-bolsistas contribuíram com mais de três mil artigos científicos publicados .
5	6	-1	1	O programa governamental de incentivo à pesquisa tecnológica Ciência sem Fronteiras completou dez anos com mais de oito mil bolsas concedidas a pesquisadores brasileiros para estudos no exterior . Os ex-bolsistas contribuíram com mais de três mil artigos científicos publicados .
A Empresa Brasileira de Pesquisa Agropecuária (Embrapa) lançou uma nova variedade de soja resistente à seca, capaz de produzir 30% mais grãos em regiões com baixa precipitação pluvial.	7	0	0	A Empresa Brasileira de Pesquisa Agropecuária ( Embrapa ) lançou uma nova variedade de soja resistente à seca , capaz de produzir 30 % mais grãos em regiões com baixa precipitação pluvial . A tecnologia foi desenvolvida ao longo de doze anos de pesquisa .
A tecnologia foi desenvolvida ao longo de doze anos de pesquisa.	7	1	0	A Empresa Brasileira de Pesquisa Agropecuária ( Embrapa ) lançou uma nova variedade de soja resistente à seca , capaz de produzir 30 % mais grãos em regiões com baixa precipitação pluvial . A tecnologia foi desenvolvida ao longo de doze anos de pesquisa .
6	7	-1	1	A Empresa Brasileira de Pesquisa Agropecuária ( Embrapa ) lançou uma nova variedade de soja resistente à seca , capaz de produzir 30 % mais grãos em regiões com baixa precipitação pluvial . A tecnologia foi desenvolvida ao longo de doze anos de pesquisa .
Pesquisadores da Universidade Federal do Rio de Janeiro descobriram uma nova espécie de dinossauro herbívoro que viveu no território brasileiro há cerca de 70 milhões de anos.	8	0	0	Pesquisadores da Universidade Federal do Rio de Janeiro descobriram uma nova espécie de dinossauro herbívoro que viveu no território brasileiro há cerca de 70 milhões de anos . Os fósseis foram encontrados no interior de Minas Gerais e o animal foi batizado de Irritator challengeri .
Os fósseis foram encontrados no interior de Minas Gerais e o animal foi batizado de Irritator challengeri.	8	1	0	Pesquisadores da Universidade Federal do Rio de Janeiro descobriram uma nova espécie de dinossauro herbívoro que viveu no território brasileiro há cerca de 70 milhões de anos . Os fósseis foram encontrados no interior de Minas Gerais e o animal foi batizado de Irritator challengeri .
7	8	-1	1	Pesquisadores da Universidade Federal do Rio de Janeiro descobriram uma nova espécie de dinossauro herbívoro que viveu no território brasileiro há cerca de 70 milhões de anos . Os fósseis foram encontrados no interior de Minas Gerais e o animal foi batizado de Irritator challengeri .
O governo federal anunciou a construção de um novo acelerador de partículas no estado de São Paulo, com investimento previsto de dois bilhões de reais.	9	0	0	O governo federal anunciou a construção de um novo acelerador de partículas no estado de São Paulo , com investimento previsto de dois bilhões de reais . O equipamento será o mais moderno da América Latina e deverá atrair pesquisadores de todo o mundo .
O equipamento será o mais moderno da América Latina e deverá atrair pesquisadores de todo o mundo.	9	1	0	O governo federal anunciou a construção de um novo acelerador de partículas no estado de São Paulo , com investimento previsto de dois bilhões de reais . O equipamento será o mais moderno da América Latina e deverá atrair pesquisadores de todo o mundo .
8	9	-1	1	O governo federal anunciou a construção de um novo acelerador de partículas no estado de São Paulo , com investimento previsto de dois bilhões de reais . O equipamento será o mais moderno da América Latina e deverá atrair pesquisadores de todo o mundo .
Médicos do Hospital das Clínicas de São Paulo realizaram com sucesso o primeiro transplante de células-tronco para tratamento de esclerose lateral amiotrófica no país.	10	0	0	Médicos do Hospital das Clínicas de São Paulo realizaram com sucesso o primeiro transplante de células-tronco para tratamento de esclerose lateral amiotrófica no país . O paciente , de 42 anos , apresentou melhora significativa na capacidade motora após o procedimento .
O paciente, de 42 anos, apresentou melhora significativa na capacidade motora após o procedimento.	10	1	0	Médicos do Hospital das Clínicas de São Paulo realizaram com sucesso o primeiro transplante de células-tronco para tratamento de esclerose lateral amiotrófica no país . O paciente , de 42 anos , apresentou melhora significativa na capacidade motora após o procedimento .
9	10	-1	1	Médicos do Hospital das Clínicas de São Paulo realizaram com sucesso o primeiro transplante de células-tronco para tratamento de esclerose lateral amiotrófica no país . O paciente , de 42 anos , apresentou melhora significativa na capacidade motora após o procedimento .
A Universidade Estadual de Campinas (Unicamp) desenvolveu um software de inteligência artificial capaz de diagnosticar melanoma com precisão de 94%, superando a taxa média de acerto de dermatologistas humanos.	11	0	0	A Universidade Estadual de Campinas ( Unicamp ) desenvolveu um software de inteligência artificial capaz de diagnosticar melanoma com precisão de 94 % , superando a taxa média de acerto de dermatologistas humanos . O sistema analisa imagens dermatoscópicas em menos de três segundos .
O sistema analisa imagens dermatoscópicas em menos de três segundos.	11	1	0	A Universidade Estadual de Campinas ( Unicamp ) desenvolveu um software de inteligência artificial capaz de diagnosticar melanoma com precisão de 94 % , superando a taxa média de acerto de dermatologistas humanos . O sistema analisa imagens dermatoscópicas em menos de três segundos .
10	11	-1	1	A Universidade Estadual de Campinas ( Unicamp ) desenvolveu um software de inteligência artificial capaz de diagnosticar melanoma com precisão de 94 % , superando a taxa média de acerto de dermatologistas humanos . O sistema analisa imagens dermatoscópicas em menos de três segundos .
O Brasil registrou recorde na produção de energia solar fotovoltaica, atingindo capacidade instalada de 30 gigawatts.	12	0	0	O Brasil registrou recorde na produção de energia solar fotovoltaica , atingindo capacidade instalada de 30 gigawatts . O país ocupa agora o oitavo lugar no ranking mundial de geração de energia solar , segundo dados da Agência Internacional de Energia Renovável .
O país ocupa agora o oitavo lugar no ranking mundial de geração de energia solar, segundo dados da Agência Internacional de Energia Renovável.	12	1	0	O Brasil registrou recorde na produção de energia solar fotovoltaica , atingindo capacidade instalada de 30 gigawatts . O país ocupa agora o oitavo lugar no ranking mundial de geração de energia solar , segundo dados da Agência Internacional de Energia Renovável .
11	12	-1	1	O Brasil registrou recorde na produção de energia solar fotovoltaica , atingindo capacidade instalada de 30 gigawatts . O país ocupa agora o oitavo lugar no ranking mundial de geração de energia solar , segundo dados da Agência Internacional de Energia Renovável .
Pesquisadores do Instituto Butantan concluíram os testes de fase três de um novo antiveneno para picadas de cobra-cascavel, com eficácia de 96%.	13	0	0	Pesquisadores do Instituto Butantan concluíram os testes de fase três de um novo antiveneno para picadas de cobra-cascavel , com eficácia de 96 % . O produto será produzido em escala industrial e distribuído gratuitamente pelo Sistema Único de Saúde ( SUS ) .
O produto será produzido em escala industrial e distribuído gratuitamente pelo Sistema Único de Saúde (SUS).	13	1	0	Pesquisadores do Instituto Butantan concluíram os testes de fase três de um novo antiveneno para picadas de cobra-cascavel , com eficácia de 96 % . O produto será produzido em escala industrial e distribuído gratuitamente pelo Sistema Único de Saúde ( SUS ) .
12	13	-1	1	Pesquisadores do Instituto Butantan concluíram os testes de fase três de um novo antiveneno para picadas de cobra-cascavel , com eficácia de 96 % . O produto será produzido em escala industrial e distribuído gratuitamente pelo Sistema Único de Saúde ( SUS ) .
A missão brasileira no continente Antártico retornou com amostras de gelo que revelam dados climáticos de até 800 mil anos atrás.	14	0	0	A missão brasileira no continente Antártico retornou com amostras de gelo que revelam dados climáticos de até 800 mil anos atrás . Os pesquisadores do Instituto Antártico Brasileiro analisarão as amostras para compreender as variações naturais do clima terrestre .
Os pesquisadores do Instituto Antártico Brasileiro analisarão as amostras para compreender as variações naturais do clima terrestre.	14	1	0	A missão brasileira no continente Antártico retornou com amostras de gelo que revelam dados climáticos de até 800 mil anos atrás . Os pesquisadores do Instituto Antártico Brasileiro analisarão as amostras para compreender as variações naturais do clima terrestre .
13	14	-1	1	A missão brasileira no continente Antártico retornou com amostras de gelo que revelam dados climáticos de até 800 mil anos atrás . Os pesquisadores do Instituto Antártico Brasileiro analisarão as amostras para compreender as variações naturais do clima terrestre .
Engenheiros da Universidade Tecnológica Federal do Paraná desenvolveram um drone autônomo para monitoramento de queimadas na Amazônia, com autonomia de voo de 12 horas.	15	0	0	Engenheiros da Universidade Tecnológica Federal do Paraná desenvolveram um drone autônomo para monitoramento de queimadas na Amazônia , com autonomia de voo de 12 horas . O equipamento utiliza câmeras térmicas e inteligência artificial para detectar focos de incêndio .
O equipamento utiliza câmeras térmicas e inteligência artificial para detectar focos de incêndio.	15	1	0	Engenheiros da Universidade Tecnológica Federal do Paraná desenvolveram um drone autônomo para monitoramento de queimadas na Amazônia , com autonomia de voo de 12 horas . O equipamento utiliza câmeras térmicas e inteligência artificial para detectar focos de incêndio .
14	15	-1	1	Engenheiros da Universidade Tecnológica Federal do Paraná desenvolveram um drone autônomo para monitoramento de queimadas na Amazônia , com autonomia de voo de 12 horas . O equipamento utiliza câmeras térmicas e inteligência artificial para detectar focos de incêndio .
O Ministério da Ciência e Tecnologia anunciou a aprovação de 150 projetos de pesquisa em energia renovável, com financiamento total de 500 milhões de reais.	16	0	0	O Ministério da Ciência e Tecnologia anunciou a aprovação de 150 projetos de pesquisa em energia renovável , com financiamento total de 500 milhões de reais . Os projetos abrangem energia solar , eólica , de biomassa e de maré .
Os projetos abrangem energia solar, eólica, de biomassa e de maré.	16	1	0	O Ministério da Ciência e Tecnologia anunciou a aprovação de 150 projetos de pesquisa em energia renovável , com financiamento total de 500 milhões de reais . Os projetos abrangem energia solar , eólica , de biomassa e de maré .
15	16	-1	1	O Ministério da Ciência e Tecnologia anunciou a aprovação de 150 projetos de pesquisa em energia renovável , com financiamento total de 500 milhões de reais . Os projetos abrangem energia solar , eólica , de biomassa e de maré .
Cientistas da Universidade Federal de Minas Gerais identificaram uma molécula presente na casca de açaí com propriedades anti-inflamatórias 10 vezes mais potentes que o ibuprofeno.	17	0	0	Cientistas da Universidade Federal de Minas Gerais identificaram uma molécula presente na casca de açaí com propriedades anti-inflamatórias 10 vezes mais potentes que o ibuprofeno . Os testes em camundongos mostraram resultados promissores sem efeitos colaterais significativos .
Os testes em camundongos mostraram resultados promissores sem efeitos colaterais significativos.	17	1	0	Cientistas da Universidade Federal de Minas Gerais identificaram uma molécula presente na casca de açaí com propriedades anti-inflamatórias 10 vezes mais potentes que o ibuprofeno . Os testes em camundongos mostraram resultados promissores sem efeitos colaterais significativos .
16	17	-1	1	Cientistas da Universidade Federal de Minas Gerais identificaram uma molécula presente na casca de açaí com propriedades anti-inflamatórias 10 vezes mais potentes que o ibuprofeno . Os testes em camundongos mostraram resultados promissores sem efeitos colaterais significativos .
O Instituto de Astronomia, Geofísica e Ciências Atmosféricas da USP detectou um asteroide com diâmetro estimado de 200 metros que passará próximo à Terra em 2031.	18	0	0	O Instituto de Astronomia , Geofísica e Ciências Atmosféricas da USP detectou um asteroide com diâmetro estimado de 200 metros que passará próximo à Terra em 2031 . Os cientistas garantem que não há risco de colisão , mas o objeto será monitorado continuamente .
Os cientistas garantem que não há risco de colisão, mas o objeto será monitorado continuamente.	18	1	0	O Instituto de Astronomia , Geofísica e Ciências Atmosféricas da USP detectou um asteroide com diâmetro estimado de 200 metros que passará próximo à Terra em 2031 . Os cientistas garantem que não há risco de colisão , mas o objeto será monitorado continuamente .
17	18	-1	1	O Instituto de Astronomia , Geofísica e Ciências Atmosféricas da USP detectou um asteroide com diâmetro estimado de 200 metros que passará próximo à Terra em 2031 . Os cientistas garantem que não há risco de colisão , mas o objeto será monitorado continuamente .
Pesquisadores brasileiros desenvolveram uma bateria feita de casca de banana que tem capacidade de armazenar energia equivalente a baterias de lítio convencionais, a um custo 40% menor.	19	0	0	Pesquisadores brasileiros desenvolveram uma bateria feita de casca de banana que tem capacidade de armazenar energia equivalente a baterias de lítio convencionais , a um custo 40 % menor . A inovação utiliza resíduos agroindustriais e é totalmente biodegradável .
A inovação utiliza resíduos agroindustriais e é totalmente biodegradável.	19	1	0	Pesquisadores brasileiros desenvolveram uma bateria feita de casca de banana que tem capacidade de armazenar energia equivalente a baterias de lítio convencionais , a um custo 40 % menor . A inovação utiliza resíduos agroindustriais e é totalmente biodegradável .
18	19	-1	1	Pesquisadores brasileiros desenvolveram uma bateria feita de casca de banana que tem capacidade de armazenar energia equivalente a baterias de lítio convencionais , a um custo 40 % menor . A inovação utiliza resíduos agroindustriais e é totalmente biodegradável .
A Universidade Federal de Pernambuco criou um sistema de purificação de água que utiliza luz solar e materiais naturais para eliminar 99% das bactérias presentes em fontes contaminadas.	20	0	0	A Universidade Federal de Pernambuco criou um sistema de purificação de água que utiliza luz solar e materiais naturais para eliminar 99 % das bactérias presentes em fontes contaminadas . O dispositivo tem custo de produção de apenas 30 reais e pode beneficiar comunidades rurais .
O dispositivo tem custo de produção de apenas 30 reais e pode beneficiar comunidades rurais.	20	1	0	A Universidade Federal de Pernambuco criou um sistema de purificação de água que utiliza luz solar e materiais naturais para eliminar 99 % das bactérias presentes em fontes contaminadas . O dispositivo tem custo de produção de apenas 30 reais e pode beneficiar comunidades rurais .
19	20	-1	1	A Universidade Federal de Pernambuco criou um sistema de purificação de água que utiliza luz solar e materiais naturais para eliminar 99 % das bactérias presentes em fontes contaminadas . O dispositivo tem custo de produção de apenas 30 reais e pode beneficiar comunidades rurais .
O Centro de Tecnologia da Informação Renato Archer desenvolveu impressoras 3D capazes de produzir próteses ortopédicas personalizadas em menos de 24 horas e a custo dez vezes menor que os modelos importados.	21	0	0	O Centro de Tecnologia da Informação Renato Archer desenvolveu impressoras 3D capazes de produzir próteses ortopédicas personalizadas em menos de 24 horas e a custo dez vezes menor que os modelos importados . Mais de 500 pacientes já foram atendidos com essa tecnologia .
Mais de 500 pacientes já foram atendidos com essa tecnologia.	21	1	0	O Centro de Tecnologia da Informação Renato Archer desenvolveu impressoras 3D capazes de produzir próteses ortopédicas personalizadas em menos de 24 horas e a custo dez vezes menor que os modelos importados . Mais de 500 pacientes já foram atendidos com essa tecnologia .
20	21	-1	1	O Centro de Tecnologia da Informação Renato Archer desenvolveu impressoras 3D capazes de produzir próteses ortopédicas personalizadas em menos de 24 horas e a custo dez vezes menor que os modelos importados . Mais de 500 pacientes já foram atendidos com essa tecnologia .
Biólogos marinhos da Universidade Federal do Ceará descobriram uma nova espécie de coral na costa brasileira, resistente ao branqueamento causado pelo aumento da temperatura dos oceanos.	22	0	0	Biólogos marinhos da Universidade Federal do Ceará descobriram uma nova espécie de coral na costa brasileira , resistente ao branqueamento causado pelo aumento da temperatura dos oceanos . A espécie foi encontrada a uma profundidade de 60 metros no litoral cearense .
A espécie foi encontrada a uma profundidade de 60 metros no litoral cearense.	22	1	0	Biólogos marinhos da Universidade Federal do Ceará descobriram uma nova espécie de coral na costa brasileira , resistente ao branqueamento causado pelo aumento da temperatura dos oceanos . A espécie foi encontrada a uma profundidade de 60 metros no litoral cearense .
21	22	-1	1	Biólogos marinhos da Universidade Federal do Ceará descobriram uma nova espécie de coral na costa brasileira , resistente ao branqueamento causado pelo aumento da temperatura dos oceanos . A espécie foi encontrada a uma profundidade de 60 metros no litoral cearense .
O laboratório de neurociências da Universidade Federal do Rio Grande do Sul mapeou novos circuitos neurais relacionados à memória de longo prazo utilizando técnicas de optogenética.	23	0	0	O laboratório de neurociências da Universidade Federal do Rio Grande do Sul mapeou novos circuitos neurais relacionados à memória de longo prazo utilizando técnicas de optogenética . A descoberta pode contribuir para o desenvolvimento de tratamentos para o Alzheimer .
A descoberta pode contribuir para o desenvolvimento de tratamentos para o Alzheimer.	23	1	0	O laboratório de neurociências da Universidade Federal do Rio Grande do Sul mapeou novos circuitos neurais relacionados à memória de longo prazo utilizando técnicas de optogenética . A descoberta pode contribuir para o desenvolvimento de tratamentos para o Alzheimer .
22	23	-1	1	O laboratório de neurociências da Universidade Federal do Rio Grande do Sul mapeou novos circuitos neurais relacionados à memória de longo prazo utilizando técnicas de optogenética . A descoberta pode contribuir para o desenvolvimento de tratamentos para o Alzheimer .
A Petrobras anunciou a descoberta de uma nova reserva de petróleo no pré-sal da bacia de Santos, com volume estimado de cinco bilhões de barris.	24	0	0	A Petrobras anunciou a descoberta de uma nova reserva de petróleo no pré-sal da bacia de Santos , com volume estimado de cinco bilhões de barris . A exploração da reserva deverá começar em 2028 após a conclusão dos estudos de viabilidade .
A exploração da reserva deverá começar em 2028 após a conclusão dos estudos de viabilidade.	24	1	0	A Petrobras anunciou a descoberta de uma nova reserva de petróleo no pré-sal da bacia de Santos , com volume estimado de cinco bilhões de barris . A exploração da reserva deverá começar em 2028 após a conclusão dos estudos de viabilidade .
23	24	-1	1	A Petrobras anunciou a descoberta de uma nova reserva de petróleo no pré-sal da bacia de Santos , com volume estimado de cinco bilhões de barris . A exploração da reserva deverá começar em 2028 após a conclusão dos estudos de viabilidade .
Pesquisadores da Universidade de Brasília criaram um app de celular capaz de detectar sinais precoces de Parkinson através da análise do padrão de digitação e voz do usuário.	25	0	0	Pesquisadores da Universidade de Brasília criaram um app de celular capaz de detectar sinais precoces de Parkinson através da análise do padrão de digitação e voz do usuário . O aplicativo tem sensibilidade de 89 % e já está em fase de validação clínica .
O aplicativo tem sensibilidade de 89% e já está em fase de validação clínica.	25	1	0	Pesquisadores da Universidade de Brasília criaram um app de celular capaz de detectar sinais precoces de Parkinson através da análise do padrão de digitação e voz do usuário . O aplicativo tem sensibilidade de 89 % e já está em fase de validação clínica .
24	25	-1	1	Pesquisadores da Universidade de Brasília criaram um app de celular capaz de detectar sinais precoces de Parkinson através da análise do padrão de digitação e voz do usuário . O aplicativo tem sensibilidade de 89 % e já está em fase de validação clínica .
O programa espacial brasileiro lançou com sucesso o satélite de observação ambiental SGDC-2, que monitorará o bioma amazônico com resolução de 50 centímetros.	26	0	0	O programa espacial brasileiro lançou com sucesso o satélite de observação ambiental SGDC-2 , que monitorará o bioma amazônico com resolução de 50 centímetros . O satélite foi desenvolvido em parceria com a Agência Espacial Europeia ( ESA ) .
O satélite foi desenvolvido em parceria com a Agência Espacial Europeia (ESA).	26	1	0	O programa espacial brasileiro lançou com sucesso o satélite de observação ambiental SGDC-2 , que monitorará o bioma amazônico com resolução de 50 centímetros . O satélite foi desenvolvido em parceria com a Agência Espacial Europeia ( ESA ) .
25	26	-1	1	O programa espacial brasileiro lançou com sucesso o satélite de observação ambiental SGDC-2 , que monitorará o bioma amazônico com resolução de 50 centímetros . O satélite foi desenvolvido em parceria com a Agência Espacial Europeia ( ESA ) .
Químicos da Universidade Estadual Paulista sintetizaram um novo composto com atividade contra o Plasmodium falciparum, parasita causador da malária.	27	0	0	Químicos da Universidade Estadual Paulista sintetizaram um novo composto com atividade contra o Plasmodium falciparum , parasita causador da malária . Os testes in vitro mostraram que o composto elimina o parasita sem danificar células humanas saudáveis .
Os testes in vitro mostraram que o composto elimina o parasita sem danificar células humanas saudáveis.	27	1	0	Químicos da Universidade Estadual Paulista sintetizaram um novo composto com atividade contra o Plasmodium falciparum , parasita causador da malária . Os testes in vitro mostraram que o composto elimina o parasita sem danificar células humanas saudáveis .
26	27	-1	1	Químicos da Universidade Estadual Paulista sintetizaram um novo composto com atividade contra o Plasmodium falciparum , parasita causador da malária . Os testes in vitro mostraram que o composto elimina o parasita sem danificar células humanas saudáveis .
A startup brasileira de biotecnologia BioTech Amazônia isolou proteínas do veneno de abelhas da Amazônia com potencial anticancerígeno.	28	0	0	A startup brasileira de biotecnologia BioTech Amazônia isolou proteínas do veneno de abelhas da Amazônia com potencial anticancerígeno . Os compostos mostraram eficácia contra células de câncer de mama e próstata em experimentos laboratoriais .
Os compostos mostraram eficácia contra células de câncer de mama e próstata em experimentos laboratoriais.	28	1	0	A startup brasileira de biotecnologia BioTech Amazônia isolou proteínas do veneno de abelhas da Amazônia com potencial anticancerígeno . Os compostos mostraram eficácia contra células de câncer de mama e próstata em experimentos laboratoriais .
27	28	-1	1	A startup brasileira de biotecnologia BioTech Amazônia isolou proteínas do veneno de abelhas da Amazônia com potencial anticancerígeno . Os compostos mostraram eficácia contra células de câncer de mama e próstata em experimentos laboratoriais .
Pesquisadores do Instituto Tecnológico de Aeronáutica desenvolveram um novo tipo de revestimento para aeronaves capaz de reduzir o arrasto aerodinâmico em 15%.	29	0	0	Pesquisadores do Instituto Tecnológico de Aeronáutica desenvolveram um novo tipo de revestimento para aeronaves capaz de reduzir o arrasto aerodinâmico em 15 % . A tecnologia , inspirada na pele de tubarão , pode reduzir o consumo de combustível de aviões comerciais .
A tecnologia, inspirada na pele de tubarão, pode reduzir o consumo de combustível de aviões comerciais.	29	1	0	Pesquisadores do Instituto Tecnológico de Aeronáutica desenvolveram um novo tipo de revestimento para aeronaves capaz de reduzir o arrasto aerodinâmico em 15 % . A tecnologia , inspirada na pele de tubarão , pode reduzir o consumo de combustível de aviões comerciais .
28	29	-1	1	Pesquisadores do Instituto Tecnológico de Aeronáutica desenvolveram um novo tipo de revestimento para aeronaves capaz de reduzir o arrasto aerodinâmico em 15 % . A tecnologia , inspirada na pele de tubarão , pode reduzir o consumo de combustível de aviões comerciais .
A Universidade Federal do Amazonas catalogou mais de 300 novas espécies de plantas medicinais da floresta amazônica, das quais 40 apresentam propriedades antifúngicas inéditas.	30	0	0	A Universidade Federal do Amazonas catalogou mais de 300 novas espécies de plantas medicinais da floresta amazônica , das quais 40 apresentam propriedades antifúngicas inéditas . O trabalho levou oito anos de expedições científicas e conta com participação de comunidades indígenas .
O trabalho levou oito anos de expedições científicas e conta com participação de comunidades indígenas.	30	1	0	A Universidade Federal do Amazonas catalogou mais de 300 novas espécies de plantas medicinais da floresta amazônica , das quais 40 apresentam propriedades antifúngicas inéditas . O trabalho levou oito anos de expedições científicas e conta com participação de comunidades indígenas .
29	30	-1	1	A Universidade Federal do Amazonas catalogou mais de 300 novas espécies de plantas medicinais da floresta amazônica , das quais 40 apresentam propriedades antifúngicas inéditas . O trabalho levou oito anos de expedições científicas e conta com participação de comunidades indígenas .
Engenheiros brasileiros criaram um sistema de irrigação inteligente que utiliza sensores de solo e algoritmos de aprendizado de máquina para reduzir o consumo de água em lavouras em até 50%.	31	0	0	Engenheiros brasileiros criaram um sistema de irrigação inteligente que utiliza sensores de solo e algoritmos de aprendizado de máquina para reduzir o consumo de água em lavouras em até 50 % . O sistema já foi implantado em fazendas do Mato Grosso e Goiás .
O sistema já foi implantado em fazendas do Mato Grosso e Goiás.	31	1	0	Engenheiros brasileiros criaram um sistema de irrigação inteligente que utiliza sensores de solo e algoritmos de aprendizado de máquina para reduzir o consumo de água em lavouras em até 50 % . O sistema já foi implantado em fazendas do Mato Grosso e Goiás .
30	31	-1	1	Engenheiros brasileiros criaram um sistema de irrigação inteligente que utiliza sensores de solo e algoritmos de aprendizado de máquina para reduzir o consumo de água em lavouras em até 50 % . O sistema já foi implantado em fazendas do Mato Grosso e Goiás .
O Instituto de Pesquisa Econômica Aplicada (IPEA) publicou estudo mostrando que o investimento público em ciência e tecnologia no Brasil cresceu 18% nos últimos cinco anos.	32	0	0	O Instituto de Pesquisa Econômica Aplicada ( IPEA ) publicou estudo mostrando que o investimento público em ciência e tecnologia no Brasil cresceu 18 % nos últimos cinco anos . Os setores de biotecnologia e energias renováveis foram os maiores beneficiados .
