id;documento
12;O Brasil registrou recorde na produção de energia solar fotovoltaica, atingindo capacidade instalada de 30 gigawatts. O país ocupa agora o oitavo lugar no ranking mundial de geração de energia solar, segundo dados da Agência Internacional de Energia Renovável.
13;Pesquisadores do Instituto Butantan concluíram os testes de fase três de um novo antiveneno para picadas de cobra-cascavel, com eficácia de 96%. O produto será produzido em escala industrial e distribuído gratuitamente pelo Sistema Único de Saúde (SUS).
14;A missão brasileira no continente Antártico retornou com amostras de gelo que revelam dados climáticos de até 800 mil anos atrás. Os pesquisadores do Instituto Antártico Brasileiro analisarão as amostras para compreender as variações naturais do clima terrestre.
15;Engenheiros da Universidade Tecnológica Federal do Paraná desenvolveram um drone autônomo para monitoramento de queimadas na Amazônia, com autonomia de voo de 12 horas. O equipamento utiliza câmeras térmicas e inteligência artificial para detectar focos de incêndio.
16;O Ministério da Ciência e Tecnologia anunciou a aprovação de 150 projetos de pesquisa em energia renovável, com financiamento total de 500 milhões de reais. Os projetos abrangem energia solar, eólica, de biomassa e de maré.
17;Cientistas da Universidade Federal de Minas Gerais identificaram uma molécula presente na casca de açaí com propriedades anti-inflamatórias 10 vezes mais potentes que o ibuprofeno. Os testes em camundongos mostraram resultados promissores sem efeitos colaterais significativos.
18;O Instituto de Astronomia, Geofísica e Ciências Atmosféricas da USP detectou um asteroide com diâmetro estimado de 200 metros que passará próximo à Terra em 2031. Os cientistas garantem que não há risco de colisão, mas o objeto será monitorado continuamente.
19;Pesquisadores brasileiros desenvolveram uma bateria feita de casca de banana que tem capacidade de armazenar energia equivalente a baterias de lítio convencionais, a um custo 40% menor. A inovação utiliza resíduos agroindustriais e é totalmente biodegradável.
20;A Universidade Federal de Pernambuco criou um sistema de purificação de água que utiliza luz solar e materiais naturais para eliminar 99% das bactérias presentes em fontes contaminadas. O dispositivo tem custo de produção de apenas 30 reais e pode beneficiar comunidades rurais.
21;O Centro de Tecnologia da Informação Renato Archer desenvolveu impressoras 3D capazes de produzir próteses ortopédicas personalizadas em menos de 24 horas e a custo dez vezes menor que os modelos importados. Mais de 500 pacientes já foram atendidos com essa tecnologia.
22;Biólogos marinhos da Universidade Federal do Ceará descobriram uma nova espécie de coral na costa brasileira, resistente ao branqueamento causado pelo aumento da temperatura dos oceanos. A espécie foi encontrada a uma profundidade de 60 metros no litoral cearense.
23;O laboratório de neurociências da Universidade Federal do Rio Grande do Sul mapeou novos circuitos neurais relacionados à memória de longo prazo utilizando técnicas de optogenética. A descoberta pode contribuir para o desenvolvimento de tratamentos para o Alzheimer.
24;A Petrobras anunciou a descoberta de uma nova reserva de petróleo no pré-sal da bacia de Santos, com volume estimado de cinco bilhões de barris. A exploração da reserva deverá começar em 2028 após a conclusão dos estudos de viabilidade.
25;Pesquisadores da Universidade de Brasília criaram um app de celular capaz de detectar sinais precoces de Parkinson através da análise do padrão de digitação e voz do usuário. O aplicativo tem sensibilidade de 89% e já está em fase de validação clínica.
26;O programa espacial brasileiro lançou com sucesso o satélite de observação ambiental SGDC-2, que monitorará o bioma amazônico com resolução de 50 centímetros. O satélite foi desenvolvido em parceria com a Agência Espacial Europeia (ESA).
27;Químicos da Universidade Estadual Paulista sintetizaram um novo composto com atividade contra o Plasmodium falciparum, parasita causador da malária. Os testes in vitro mostraram que o composto elimina o parasita sem danificar células humanas saudáveis.
28;A startup brasileira de biotecnologia BioTech Amazônia isolou proteínas do veneno de abelhas da Amazônia com potencial anticancerígeno. Os compostos mostraram eficácia contra células de câncer de mama e próstata em experimentos laboratoriais.
29;Pesquisadores do Instituto Tecnológico de Aeronáutica desenvolveram um novo tipo de revestimento para aeronaves capaz de reduzir o arrasto aerodinâmico em 15%. A tecnologia, inspirada na pele de tubarão, pode reduzir o consumo de combustível de aviões comerciais.
30;A Universidade Federal do Amazonas catalogou mais de 300 novas espécies de plantas medicinais da floresta amazônica, das quais 40 apresentam propriedades antifúngicas inéditas. O trabalho levou oito anos de expedições científicas e conta com participação de comunidades indígenas.
31;Engenheiros brasileiros criaram um sistema de irrigação inteligente que utiliza sensores de solo e algoritmos de aprendizado de máquina para reduzir o consumo de água em lavouras em até 50%. O sistema já foi implantado em fazendas do Mato Grosso e Goiás.
32;O Instituto de Pesquisa Econômica Aplicada (IPEA) publicou estudo mostrando que o investimento público em ciência e tecnologia no Brasil cresceu 18% nos últimos cinco anos. Os setores de biotecnologia e energias renováveis foram os maiores beneficiados.
33;Neurocientistas da Universidade Federal Fluminense identificaram um biomarcador sanguíneo que permite diagnosticar depressão com precisão de 87% antes do aparecimento dos sintomas clínicos. A descoberta pode permitir intervenção precoce e reduzir internações psiquiátricas.
34;O projeto Biota-FAPESP completou 25 anos de pesquisa sobre a biodiversidade paulista, catalogando mais de 22 mil espécies, das quais 15% são endêmicas do estado de São Paulo. Os dados estão disponíveis em plataforma digital de acesso livre ao público.
35;Pesquisadores da Universidade Federal do Pará desenvolveram um método de biorremediação que utiliza fungos para descontaminar solos afetados por derramamentos de petróleo na região amazônica. O processo é 60% mais eficiente que os métodos convencionais e não agride o ecossistema.
