Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
contra	ADP	0	2	10	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
a	DET	0	2	11	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
dengue	NOUN	1	2	12	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
que	PRON	0	2	13	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
mostrou	VERB	0	2	14	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
eficácia	NOUN	0	2	15	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
de	ADP	0	2	16	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
85	NUM	0	2	17	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
%	SYM	0	2	18	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
em	ADP	0	2	19	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
testes	NOUN	0	2	20	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
clínicos	ADJ	1	2	21	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
realizados	VERB	0	2	22	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
com	ADP	0	2	23	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
voluntários	NOUN	0	2	24	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
adultos	ADJ	0	2	25	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
.	PUNCT	0	2	26	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Os	DET	0	2	27	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
resultados	NOUN	0	2	28	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
foram	AUX	0	2	29	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
publicados	VERB	0	2	30	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
na	ADP	0	2	31	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
revista	NOUN	0	2	32	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
científica	ADJ	0	2	33	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
The	PROPN	0	2	34	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
Lancet	PROPN	1	2	35	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
na	ADP	0	2	36	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
última	ADJ	0	2	37	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
semana	NOUN	0	2	38	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
.	PUNCT	0	2	39	0	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
1	['NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'NOUN', 'ADP', 'NUM', 'SYM', 'ADP', 'NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'NOUN', 'ADJ', 'PROPN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']	[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	2	1	1	Pesquisadores da Universidade de São Paulo desenvolveram uma vacina experimental contra a dengue que mostrou eficácia de 85 % em testes clínicos realizados com voluntários adultos . Os resultados foram publicados na revista científica The Lancet na última semana .
O	DET	0	3	0	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Instituto	PROPN	0	3	1	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Nacional	PROPN	0	3	2	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
de	ADP	0	3	3	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Pesquisas	PROPN	0	3	4	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Espaciais	PROPN	1	3	5	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
(	PUNCT	0	3	6	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
INPE	PROPN	1	3	7	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
)	PUNCT	0	3	8	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
identificou	VERB	0	3	9	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
um	DET	0	3	10	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
aumento	NOUN	0	3	11	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
de	ADP	0	3	12	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
22	NUM	0	3	13	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
%	SYM	0	3	14	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
no	ADP	0	3	15	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
desmatamento	NOUN	1	3	16	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
da	ADP	0	3	17	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
Amazônia	PROPN	0	3	18	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
no	ADP	0	3	19	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
último	ADJ	0	3	20	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
trimestre	NOUN	1	3	21	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
em	ADP	0	3	22	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
comparação	NOUN	0	3	23	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
ao	ADP	0	3	24	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
mesmo	ADJ	0	3	25	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
período	NOUN	0	3	26	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
do	ADP	0	3	27	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
ano	NOUN	0	3	28	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
anterior	ADJ	0	3	29	0	O Instituto Nacional de Pesquisas Espaciais ( INPE ) identificou um aumento de 22 % no desmatamento da Amazônia no último trimestre em comparação ao mesmo período do ano anterior . Os dados foram coletados via satélite e confirmados por equipes em campo .
